GEOID,County,Donald J. Trump,Joe R. Biden,Jo Jorgensen,Don_Per,Joe_Per,Don_MOV,Joe_MOV,Total_Pres,David A. Purdue,Jon Ossoff,Pur_Per,Oss_Per,Pur_MOV,Oss_MOV,Total_Sen1,Kelly Loeffler,Raphael Warnock,Others,Loe_Per,War_Per,Loe_MOV,War_MOV,Total_Sen2
13213,Murray,12943,2302,144,84.1,14.95,69.14999999999999,-69.14999999999999,15389,12493,2296,82.45,15.15,67.3,-67.3,15151,6300,765,7666.0,42.76,5.19,37.57,-37.57,14731
13215,Muscogee,30049,49529,965,37.3,61.49,-24.190000000000005,24.190000000000005,80543,30226,47552,37.99,59.77,-21.78,21.78,79550,15307,32560,31481.0,19.29,41.03,-21.740000000000002,21.740000000000002,79348
13217,Newton,23869,29794,576,44.0,54.93,-10.93,10.93,54239,23408,29220,43.52,54.33,-10.809999999999995,10.809999999999995,53778,13443,20450,19679.0,25.09,38.17,-13.080000000000002,13.080000000000002,53572
13219,Oconee,16595,8162,411,65.93,32.43,33.50000000000001,-33.50000000000001,25168,17108,7465,68.04,29.69,38.35000000000001,-38.35000000000001,25142,9914,5448,9547.0,39.8,21.87,17.929999999999996,-17.929999999999996,24909
13221,Oglethorpe,5593,2436,102,68.78,29.95,38.83,-38.83,8131,5500,2323,68.26,28.83,39.43000000000001,-39.43000000000001,8057,2901,1720,3349.0,36.39,21.58,14.810000000000002,-14.810000000000002,7970
13223,Paulding,54525,29704,1156,63.85,34.78,29.07,-29.07,85385,53485,28755,63.25,34.01,29.240000000000002,-29.240000000000002,84548,30597,19118,34271.0,36.43,22.76,13.669999999999998,-13.669999999999998,83986
13225,Peach,6502,5920,123,51.82,47.19,4.630000000000003,-4.630000000000003,12545,6483,5702,52.14,45.86,6.280000000000001,-6.280000000000001,12432,3358,4032,4962.0,27.18,32.64,-5.460000000000001,5.460000000000001,12352
13227,Pickens,14075,2808,233,82.23,16.4,65.83000000000001,-65.83000000000001,17116,13860,2678,81.67,15.78,65.89,-65.89,16969,6003,2076,8757.0,35.65,12.33,23.32,-23.32,16836
13229,Pierce,7899,1100,49,87.3,12.15,75.14999999999999,-75.14999999999999,9048,7810,1002,87.35,11.2,76.14999999999999,-76.14999999999999,8941,2821,478,5487.0,32.1,5.44,26.66,-26.66,8786
13231,Pike,9127,1505,88,85.13,14.03,71.1,-71.1,10720,9045,1430,84.93,13.42,71.51,-71.51,10649,4965,1118,4493.0,46.94,10.57,36.37,-36.37,10576
13233,Polk,13589,3658,152,78.1,21.02,57.08,-57.08,17399,13282,3537,77.06,20.52,56.540000000000006,-56.540000000000006,17235,6942,2331,7745.0,40.79,13.69,27.1,-27.1,17018
13235,Pulaski,2805,1217,37,69.1,29.98,39.11999999999999,-39.11999999999999,4059,2787,1139,69.58,28.43,41.15,-41.15,4005,1480,815,1684.0,37.19,20.48,16.709999999999997,-16.709999999999997,3979
13237,Putnam,8291,3448,116,69.93,29.08,40.85000000000001,-40.85000000000001,11855,8279,3299,70.35,28.03,42.31999999999999,-42.31999999999999,11767,4208,2445,5041.0,35.98,20.9,15.079999999999998,-15.079999999999998,11694
13239,Quitman,604,497,5,54.61,44.93,9.68,-9.68,1106,600,470,55.29,43.31,11.979999999999997,-11.979999999999997,1085,285,283,509.0,26.46,26.27,0.19000000000000128,-0.19000000000000128,1077
13241,Rabun,7474,1984,110,78.11,20.73,57.379999999999995,-57.379999999999995,9568,7392,1825,78.04,19.26,58.78,-58.78,9472,2475,1223,5688.0,26.36,13.03,13.33,-13.33,9386
13243,Randolph,1391,1671,12,45.25,54.35,-9.100000000000001,9.100000000000001,3074,1404,1606,46.16,52.81,-6.650000000000006,6.650000000000006,3041,706,1179,1137.0,23.36,39.01,-15.649999999999999,15.649999999999999,3022
13245,Richmond,26781,59124,1111,30.77,67.94,-37.17,37.17,87016,27052,56786,31.46,66.05,-34.589999999999996,34.589999999999996,85968,15394,34331,36019.0,17.95,40.03,-22.080000000000002,22.080000000000002,85744
13247,Rockdale,13012,31244,430,29.11,69.91,-40.8,40.8,44686,12716,30641,28.72,69.22,-40.5,40.5,44263,7323,21942,14947.0,16.56,49.62,-33.06,33.06,44212
13249,Schley,1800,462,13,79.12,20.3,58.82000000000001,-58.82000000000001,2275,1783,439,79.03,19.45,59.58,-59.58,2256,774,315,1137.0,34.77,14.15,20.620000000000005,-20.620000000000005,2226
13251,Screven,3916,2661,51,59.08,40.14,18.939999999999998,-18.939999999999998,6628,3893,2589,59.46,39.54,19.92,-19.92,6547,2078,1685,2694.0,32.18,26.09,6.09,-6.09,6457
13253,Seminole,2611,1254,19,67.22,32.28,34.94,-34.94,3884,2597,1187,67.66,30.92,36.739999999999995,-36.739999999999995,3838,1021,419,2303.0,27.27,11.19,16.08,-16.08,3743
13255,Spalding,18057,11784,275,59.95,39.12,20.830000000000005,-20.830000000000005,30116,17768,11355,59.69,38.15,21.54,-21.54,29764,9759,8543,11411.0,32.84,28.75,4.090000000000003,-4.090000000000003,29713
13257,Stephens,9368,2385,132,78.82,20.06,58.75999999999999,-58.75999999999999,11885,9353,2187,79.47,18.58,60.89,-60.89,11768,2126,1144,8368.0,18.26,9.82,8.440000000000001,-8.440000000000001,11638
13259,Stewart,801,1182,7,40.25,59.39,-19.14,19.14,1990,803,1115,41.11,57.09,-15.980000000000004,15.980000000000004,1953,327,764,815.0,17.15,40.08,-22.93,22.93,1906
