UniqueID,County,Precinct,Donald J. Trump,Joe R. Biden,Jo Jorgensen,Don_Per,Joe_Per,Don_MOV,Joe_MOV,Total_Pres,David A. Purdue,Jon Ossoff,Pur_Per,Oss_Per,Pur_MOV,Oss_MOV,Total_Sen1,Kelly Loeffler,Raphael Warnock,Loe_Per,War_Per,Loe_MOV,War_MOV,Others,Total_Sen2
"Baldwin,East Baldwin",Baldwin,East Baldwin,1581,1159,28,57.11,41.87,15.24,-15.24,2768,1561,1127,56.76,40.98,15.78,-15.78,2750,862,797,31.6,29.22,2.38,-2.38,1068,2727
"Baldwin,Scottsboro",Baldwin,Scottsboro,426,275,8,60.08,38.78,21.3,-21.3,709,407,271,58.22,38.76,19.46,-19.46,699,219,197,31.69,28.5,3.19,-3.19,275,691
"Baldwin,North Baldwin",Baldwin,North Baldwin,1891,810,24,69.39,29.72,39.67,-39.67,2725,1882,779,69.47,28.75,40.72,-40.72,2709,1021,536,38.04,19.97,18.07,-18.07,1127,2684
"Baldwin,West Baldwin",Baldwin,West Baldwin,731,604,19,53.98,44.6,9.38,-9.38,1354,735,579,54.93,43.27,11.66,-11.66,1338,388,425,29.21,32,-2.79,2.79,515,1328
"Baldwin,East Hardwick",Baldwin,East Hardwick,140,520,12,20.83,77.38,-56.55,56.55,672,139,496,21.25,75.84,-54.59,54.59,654,49,358,7.41,54.16,-46.75,46.75,254,661
"Baldwin,West Hardwick",Baldwin,West Hardwick,400,1421,22,21.7,77.1,-55.4,55.4,1843,411,1357,22.59,74.6,-52.01,52.01,1819,203,989,11.31,55.12,-43.81,43.81,602,1794
"Baldwin,Coopers",Baldwin,Coopers,784,320,10,70.37,28.72,41.65,-41.65,1114,768,307,69.69,27.85,41.84,-41.84,1102,398,215,36.38,19.65,16.73,-16.73,481,1094
"Banks,Anderson",Banks,Anderson,901,100,12,88.94,9.87,79.07,-79.07,1013,882,98,87.67,9.74,77.93,-77.93,1006,311,78,31.25,7.83,23.42,-23.42,606,995
"Banks,Baldwin",Banks,Baldwin,528,103,6,82.88,16.16,66.72,-66.72,637,504,111,80.25,17.67,62.58,-62.58,628,171,66,27.49,10.61,16.88,-16.88,385,622
"Banks,Berlin",Banks,Berlin,266,29,0,90.16,9.83,80.33,-80.33,295,263,27,89.45,9.18,80.27,-80.27,294,105,14,36.08,4.81,31.27,-31.27,172,291
